"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"France","Toulouse","Population, all ages, administrative data",1268438,1282870,1301223,1322271,1344018,1365241,1384365,1399121,1414936,1433656,1454158,1.444209,43.604652
"France","Tours","Population, all ages, administrative data",495637,497597,500726,504231,507669,511546,512770,514327,515076,516973,519778,0.68484,47.394144
"France","Valence","Population, all ages, administrative data",239857,240321,242051,243278,244034,246497,249150,250778,252638,254254,255135,4.89236,44.933393
"France","Valenciennes","Population, all ages, administrative data",335118,335871,336207,336076,335950,337307,338203,337983,338210,338345,338180,3.518332,50.357113
"Germany","Aachen","Population, all ages, administrative data",603804,601512,574479,575619,576901,579150,581869,588596,587124,588798,590345,6.0838868,50.7753455
"Germany","Augsburg","Population, all ages, administrative data",570751,570761,570563,573859,578574,584918,591708,600726,606087,612269,616785,10.89779,48.3705449
"Germany","Berlin","Population, all ages, administrative data",4641562,4653502,4474208,4523682,4577011,4629550,4688119,4758233,4822683,4872213,4914049,13.404954,52.5200066
"Germany","Bielefeld","Population, all ages, administrative data",548717,547293,550477,550043,550871,551385,552853,559417,559407,558991,560073,8.5324708,52.0302285
"Germany","Bonn","Population, all ages, administrative data",775844,777481,748459,752402,755193,757711,762763,774814,779590,783915,786520,7.0982068,50.73743
"Germany","Braunschweig-Salzgitter","Population, all ages, administrative data",582896,581909,569180,569151,570165,571499,574004,581125,581323,581257,581787,10.5267696,52.2688736
"Germany","Bremen","Population, all ages, administrative data",1021463,1020517,1010016,1010489,1013069,1016018,1022074,1034734,1044510,1048718,1051162,8.8016937,53.0792962
"Germany","Chemnitz","Population, all ages, administrative data",489085,485486,476830,474285,472713,471281,471504,475992,471887,470461,469223,12.9208547,50.8282222
"Germany","Darmstadt","Population, all ages, administrative data",413739,414874,407274,412773,415807,418618,423163,431154,435079,437191,439551,8.6511929,49.8728253
"Germany","Dresden","Population, all ages, administrative data",931963,933407,917216,920945,926560,931094,936264,945692,946861,949214,952170,13.7372621,51.0504088
"Germany","Düsseldorf","Population, all ages, administrative data",1432645,1432000,1411768,1415660,1420668,1426359,1434912,1454335,1454090,1460581,1464384,6.7734556,51.2277411
"Germany","Erfurt","Population, all ages, administrative data",344846,344228,338157,338615,339295,340171,341279,345910,346089,347684,347990,11.0298799,50.9847679
"Germany","Erlangen","Population, all ages, administrative data",287970,288476,285404,286813,288532,289413,291185,294779,297377,298976,300962,11.0119611,49.5896744
"Germany","Frankfurt am Main","Population, all ages, administrative data",2473320,2480493,2446130,2466276,2487527,2512956,2544674,2586095,2605812,2626673,2642722,8.6821267,50.1109221
"Germany","Freiburg im Breisgau","Population, all ages, administrative data",555100,557687,539927,546085,551477,556229,561535,571369,575927,580845,582394,7.8421043,47.9990077
"Germany","Göttingen","Population, all ages, administrative data",323595,321313,311123,309478,308121,307227,307708,312046,309648,309927,309755,9.9158035,51.5412804
"Germany","Halle an der Saale","Population, all ages, administrative data",373932,371603,364559,364012,363839,362874,362935,367363,367959,368715,368091,11.9662371,51.4953567
"Germany","Hamburg","Population, all ages, administrative data",3252855,3257743,3173390,3190715,3212683,3234098,3262239,3304477,3341658,3368846,3386586,9.9871703,53.5488282
"Germany","Hannover","Population, all ages, administrative data",1264368,1263882,1232282,1236054,1241873,1248436,1257052,1274570,1279271,1283222,1288264,9.7320104,52.3758916
"Germany","Heidelberg","Population, all ages, administrative data",337692,338841,334130,336923,339576,342658,346584,350682,355234,356754,356837,8.6724335,49.3987524
"Germany","Heilbronn","Population, all ages, administrative data",363884,363692,352074,353664,355481,357162,361231,367719,371252,374934,377460,9.210879,49.1426929
"Germany","Ingolstadt","Population, all ages, administrative data",377501,377979,375616,378617,382696,386187,390756,395929,400396,403747,407060,11.4226498,48.7667395
"Germany","Kaiserslautern","Population, all ages, administrative data",257563,257865,254309,253662,252924,252272,252514,254412,255601,255985,256404,7.7491265,49.4400657
"Germany","Karlsruhe","Population, all ages, administrative data",681430,682405,672877,676388,682455,687325,690380,702134,708014,711849,714493,8.4036527,49.0068901
"Germany","Kassel","Population, all ages, administrative data",488904,487705,480316,480320,480461,480559,481324,487200,489476,490902,491579,9.4797461,51.3127114
"Germany","Kiel","Population, all ages, administrative data",484627,484653,475765,476924,478293,479886,481948,487165,489602,490558,489878,10.1227652,54.3232927
"Germany","Koblenz","Population, all ages, administrative data",316506,315408,316218,315574,316766,317428,318692,321677,323095,323579,324194,7.5889959,50.3569429
"Germany","Köln","Population, all ages, administrative data",2110706,2111910,2095137,2107952,2121550,2134810,2152997,2182838,2197586,2204656,2213405,6.9602786,50.937531
"Germany","Krefeld","Population, all ages, administrative data",299757,298652,284774,283947,283993,283912,284382,287565,289385,289340,289702,6.565208,51.3345409
"Germany","Leipzig","Population, all ages, administrative data",890123,889869,862229,867763,876078,884541,897199,914148,924867,935239,940681,12.3730747,51.3396955
"Germany","Lübeck","Population, all ages, administrative data",378510,377157,374451,374450,375639,377090,379243,382372,384015,383803,384904,10.6865593,53.8654673
"Germany","Magdeburg","Population, all ages, administrative data",440089,438175,430191,428948,428144,427674,428170,432120,433524,432650,431533,11.6276237,52.1205333
"Germany","Mainz","Population, all ages, administrative data",408145,408283,409275,411263,413916,416455,420562,427297,431887,434195,437474,8.2472526,49.9928617
"Germany","Mannheim-Ludwigshafen","Population, all ages, administrative data",1297986,1297072,1254805,1259189,1266179,1273345,1283698,1299272,1304610,1311963,1317325,8.4447451,49.4774018
"Germany","Mönchengladbach","Population, all ages, administrative data",399259,398238,392934,391893,391912,392105,393701,398161,399385,400814,400290,6.4315392,51.1941686
"Germany","München","Population, all ages, administrative data",2721310,2731210,2724629,2765185,2806263,2845437,2881670,2928134,2958353,2963380,2989117,11.5819806,48.1351253
"Germany","Münster","Population, all ages, administrative data",612589,613509,612943,623673,626974,630248,634108,646273,648856,651308,652818,7.6261347,51.9606649
"Germany","Nürnberg","Population, all ages, administrative data",1139047,1137772,1113327,1121362,1130027,1137176,1142600,1158768,1165706,1172489,1179974,11.0766654,49.4521018
"Germany","Oldenburg (Oldenburg)","Population, all ages, administrative data",300287,301773,296851,297793,299137,300453,302861,307574,310680,312664,314323,8.2145521,53.1434501
"Germany","Osnabrück","Population, all ages, administrative data",372233,371809,358180,358855,359999,360631,361875,371216,371234,372342,373395,8.0471788,52.2799112
"Germany","Paderborn","Population, all ages, administrative data",326060,326082,321049,322019,322366,322780,325159,330708,331265,331397,332799,8.7575093,51.7189205
"Germany","Pforzheim","Population, all ages, administrative data",262249,261641,253550,254472,256087,257953,260200,264912,266992,268647,270331,8.6946286,48.8921862
"Germany","Regensburg","Population, all ages, administrative data",423460,424201,423470,426028,429617,433819,437838,444714,449670,454529,458397,12.1016236,49.0134297
"Germany","Rostock","Population, all ages, administrative data",325777,325007,321476,322070,322463,322878,324343,327075,328812,330076,330794,12.0991466,54.0924406
"Germany","Ruhrgebiet","Population, all ages, administrative data",5171991,5141642,5040355,5025578,5017324,5016123,5025198,5079758,5089326,5084381,5082574,7.1980843,51.5450884
"Germany","Saarbrücken","Population, all ages, administrative data",544365,540380,529468,527690,526219,524682,523942,527016,528998,528601,527000,6.997547,49.2381697
"Germany","Siegen","Population, all ages, administrative data",253771,252087,246062,245008,244354,243654,244430,248514,246184,246188,246358,8.0209591,50.8838492
"Germany","Stuttgart","Population, all ages, administrative data",2424094,2424003,2368380,2381908,2400999,2421136,2445287,2484150,2504481,2523658,2532135,9.1829321,48.7758459
"Germany","Trier","Population, all ages, administrative data",270059,270114,272435,273106,274614,275753,277939,287307,282500,283130,284228,6.6371433,49.749992
"Germany","Ulm","Population, all ages, administrative data",453532,453947,444087,445769,447542,450818,454707,461731,464943,469363,472993,9.9876076,48.4010822
"Germany","Wiesbaden","Population, all ages, administrative data",441812,442416,430696,433513,435571,437148,439272,442250,445046,446899,447084,8.2397608,50.0782184
"Germany","Wolfsburg","Population, all ages, administrative data",388940,387683,382032,381654,381906,382829,384699,387746,388401,388164,388508,10.7865461,52.4226503
"Germany","Wuppertal","Population, all ages, administrative data",381939,379494,370630,370283,370516,370988,372937,377813,380103,381240,381998,7.1507636,51.2562128
"Germany","Würzburg","Population, all ages, administrative data",385347,384292,372857,372596,372476,373176,373458,375843,377878,379234,381173,9.9533548,49.7913044
"Greece","Athina","Population, all ages, administrative data",3796437,3798681,3788294,3758268,3707088,3657735,3616748,3575285,3566511,3549274,3535392,23.7275388,37.9838096
"Greece","Thessaloniki","Population, all ages, administrative data",1068690,1072888,1074259,1071944,1065569,1059481,1053352,1046722,1045009,1042746,1041841,22.9444191,40.6400629
"Hungary","Budapest","Population, all ages, administrative data",2901584,2925526,2944175,2915209,2927508,2938349,2955638,2965055,2969377,2979468,2997506,19.040235,47.497912
